fecha_registro,url,url_archivo,operación,tipo_inmueble,colonia,precio,m2_construccion,m2_terreno,recamaras,banos,estacionamientos,antigüedad,es_preventa,notas
2026-05-29,https://www.inmuebles24.com/propiedades/clasificado/veclcain-venta-casa-en-fracc.-altabrisa-150018846.html,,venta,casa,altabrisa,2390000,100,160,2,1,2,20,no,Casa en fraccionamiento Vista Alegre Norte. Casa de un solo piso ubicada muy cerca de la avenida principal. Cerca de un parque y de todos los servicios. Wayback bloqueado por seguridad
2026-05-29,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-altabrisa-149999352.html,,venta,departamento,altabrisa,2285000,46,46,1,1,1,,si,"Preventa, múltiples unidades, precio cabecera $2,285,000 difiere de descripción que menciona desde $2,850,000 (1 rec) hasta $4,358,000 (2 rec), amenidades: rooftop con piscina, estacionamiento techado con cargador eléctrico, a estrenar"
2026-05-29,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-country-towers-altabrisa-149999310.html,,venta,departamento,altabrisa,6200000,160,160,2,3,2,,no,"Country Towers Altabrisa, anuncio no especifica años, 2 estacionamientos techados, cuarto de servicio, amenidades: spa, cine, pádel, tenis, lago, bodega privada"
2026-05-29,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-de-4-recamaras-en-altabrisa-merida-149764913.html,,venta,casa,altabrisa,7500000,292,326,4,3,2,10,no,"Sin cuota de mantenimiento, piscina con cascada, terraza con bar y asador, cochera techada con reja eléctrica, 3.5 baños, totalmente equipada, doble altura en recibidor."
2026-05-29,https://www.inmuebles24.com/propiedades/clasificado/veclccin-casa-en-venta-en-altabrisa-merida-yucatan-149819923.html,,venta,casa,altabrisa,27000000,800,890,4,4,2,6,no,"Casa en condominio, piscina con baño completo, cuarto de servicio y chofer con baño independiente, estudio, gym, cuarto de juegos, bodega."
2026-05-29,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-arthouse-merida-torre-a-149919800.html,,venta,departamento,altabrisa,7500000,116,116,2,2,2,2,no,"En montecarlo, pero dice altabrisa, torre A piso 7, terraza privada, cuarto de lavado, amenidades: alberca tipo resort, rooftop, spa, cine, coworking, gimnasio, área mascotas, seguridad 24/7"
2026-05-29,https://www.inmuebles24.com/propiedades/clasificado/veclccin-townhouse-de-2-recamaras-equipado-en-el-corazon-de-150026541.html,,venta,casa,altabrisa,4200000,143,96,2,2,2,2,no,"townhouse, 3.5 baños, jardín trasero, bodega, family room, cocina equipada con barra de granito, portón eléctrico, acepta mascotas, disponibilidad inmediata, excelente estado de conservación"
2026-05-29,https://www.inmuebles24.com/propiedades/clasificado/veclapin-exclusivo-departamento-en-venta-col.-altabrisa-149909617.html,,venta,departamento,altabrisa,2700000,90,90,1,1,1,,no,"complejo de 26 departamentos, terraza opcional, 1.5 baños, closet de lavado, entrega feb 2025 ya cumplida, apartado $20,000 enganche 30%, acepta crédito bancario"
2026-05-29,https://www.inmuebles24.com/propiedades/clasificado/veclapin-hermoso-departamento-en-venta-en-country-towers-149765180.html,,venta,departamento,altabrisa,8500000,184,184,3,3,2,1,no,"descripción menciona 215 m2 pero ficha técnica indica 184 m2, dato registrado según ficha técnica"
2026-05-29,https://www.inmuebles24.com/propiedades/clasificado/veclapin-altea:-departamento-en-venta-en-fraccionamiento-149946117.html,,venta,departamento,altabrisa,3990000,91,91,2,2,2,,no,"balcón, jardinera, amenidades: alberca, bar/terraza, gimnasio, lobby, vigilancia 24/7 con CCTV, entrega inmediata"
2026-06-01,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-santa-gertrudis-copo-150024425.html,,venta,departamento,santa gertrudis copo,1950000,59,59,1,1,1,3,no,departamento en condominio Ekha mantenimiento $900 por mes
